District,Area,Postal Code,Region
1,"Raffles Place, Marina, Cecil, People’s Park","01, 02, 03, 04, 05, 06",Central
2,"Anson, Tanjong Pagar","07, 08",Central
3,"Queenstown, Tiong Bahru","14, 15, 16",Central
4,"Telok Blangah, Harbourfront","09, 10",Central
5,"Pasir Panjang, Hong Leong Garden, Clementi New Town","11, 12, 13",West
6,"High Street, Beach Road (part)",17,Central
7,"Middle Road, Golden Mile","18, 19",Central
8,Little India,"20, 21",Central
9,"Orchard, Cairnhill, River Valley","22, 23",Central
10,"Ardmore, Bukit Timah, Holland Road, Tanglin","24, 25, 26, 27",Central
11,"Watten Estate, Novena, Thomson","28, 29, 30",Central
12,"Balestier, Toa Payoh, Serangoon","31, 32, 33",Central
13,"Macpherson, Braddell","34, 35, 36, 37",Central
14,"Geylang, Eunos","38, 39, 40, 41",Central
15,"Katong, Joo Chiat, Amber Road","42, 43, 44, 45",East
16,"Bedok, Upper East Coast, Eastwood, Kew Drive","46, 47, 48",East
17,"Loyang, Changi","49, 50, 81",East
18,"Tampines, Pasir Ris","51, 52",East
19,"Serangoon Garden, Hougang, Sengkang, Punggol","53, 54, 55, 82",North-East
20,"Bishan, Ang Mo Kio","56, 57",North-East
21,"Upper Bukit Timah, Clementi Park, Ulu Pandan","58, 59",Central
22,Jurong,"60, 61, 62, 63, 64",West
23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang","65, 66, 67, 68",West
24,"Lim Chu Kang, Tengah","69, 70, 71",North
25,"Krangi, Woodgrove, Woodlands","72, 73",North
26,"Upper Thomson, Springleaf","77, 78",Central
27,"Yishun, Sembawang","75, 76",North
28,Seletar,"79, 80",North-East
